Tuesday
10:00 AM - 11:55 AM: PHY202, Physics Lab
12:00 PM - 1:55 PM: MTH204, LH
2:00 PM - 3:55 PM: CMP212, Hardware Lab
4:00 PM - 5:55 PM: BST204, LH

Wednesday
8:00 AM - 9:55 AM: CMP204, CMP LH
10:00 AM - 11:55 AM: EPS228, PG LH

Thursday
10:00 AM - 11:55 AM: GST224, LH
12:00 PM - 1:55 PM: CMP206, CMP LH
2:00 PM - 3:55 AM: GST224, LH

Friday
2:00 PM - 4:55 PM: CMP202, CMP LH
